event_date,year,cartel_a,cartel_b,fatalities,admin1,location,latitude,longitude,notes
2020-02-20,2020,CJNG,Los Viagras,1,Tamaulipas,Ciudad Victoria,23.7311,-99.1513,"As reported on 20 February 2020, members of the CJNG published a video in which they showed how they tortured and executed a member of Los Viagras. According to reports, these groups have increased their confrontation in Tamaulipas state."
2020-02-27,2020,CJNG,Santa Rosa de Lima,2,Guanajuato,Guanajuato,21.0161,-101.2536,"As reported on 27 February 2020, members of the Santa Rosa de Lima Cartel published a video in which the show how they torture and executed two members of the CNJG after they were kidnapped. The members of the CNJG were beheaded. According to reports, the conflict between both cartels is focused in Guanajuato state."
2020-03-12,2020,Cartel del Noreste,Gulf Cartel (Golfo),0,Nuevo Leon,Doctor Coss,25.9249,-99.1831,"On 12 March 2020, near Doctor Coss, Nuevo Leon, an armed confrontation was reported between armed individuals in several vehicles on the road from Doctor Coss to the Pena Blanca-Santa Rosalia junction. After the confrontation, several burned-out vehicle were left behind and there are no reports of injuries. According to reports, the armed individuals were part of the Gulf Cartel and the North-Eas…"
2020-03-18,2020,CJNG,Carteles Unidos,9,Michoacan de Ocampo,La Huacana,18.9629,-101.8089,"Around 18 March 2020 (as reported), in La Huacana municipality, Michoacan, members of CJNG clashed with the United Cartel. 18 fatalities split across 2 locations."
2020-03-18,2020,CJNG,Carteles Unidos,9,Michoacan de Ocampo,Aguililla,18.7342,-102.7884,"Around 18 March 2020 (as reported), in Aguililla municipality, Michoacan, members of CJNG clashed with the United Cartel. 18 fatalities split across 2 locations."
2020-03-22,2020,CJNG,Los Viagras,1,Mexico,Tenango de Arista,19.1044,-99.5908,"On 22 March 2020, in Tenango del Valle municipality, Mexico, a man, allegedly member of Los Viagras, was found dead at Santiaguito Coaxustenco bridge. The victim was beheaded and a threatening message against Los Viagras was left signed by CJNG. 1 fatality."
2020-03-25,2020,CJNG,Los Viagras,0,Michoacan de Ocampo,Aguililla,18.7342,-102.7884,"On 25 March 2020, in the Municipality of Aguililla, Michoacan, an armed clash between members of CJNG and the Viagra Gang was reported in the community of El Aguaje. According to reports in the confrontation at least 40 CJNG vans were involved. It is not known if there were any injuries or deaths"
2020-04-03,2020,Gente Nueva,La Linea,19,Chihuahua,Madera,29.19,-108.1414,"On 3 April 2020, in Madera, Chihuahua, the criminal group La Linea and the group Gente Nueva clashed. After the clash, police officers found 19 dead men, 1 injured, 18 firearms, two vehicles and two grenades in the place of the event. 19 fatalities and 1 injured."
2020-04-14,2020,CJNG,Los Viagras,0,Michoacan de Ocampo,El Limoncito,18.5802,-102.9057,"On 14 April 2020, at the border between El Limoncito and El Aguaje in Aguililla municipality, Michoacan, members of the CJNG and Los Viagras clashed. Neither fatalities nor injuries reported."
2020-04-26,2020,CJNG,Los Viagras,21,Michoacan de Ocampo,Aguililla,18.7342,-102.7884,"As reported on 26 April 2020, in Aguililla municipality, Michoacan, an armed clash between members of CJNG and Los Viagras Gang was reported in the community of La Huerta. 12 men who were shot dead and 6 burned bodies were found. According to the report the inhabitants of the Huertas say they have found 3 extra dead bodies related to the event."
2020-05-22,2020,CJNG,Sinaloa Cartel,8,Jalisco,Puente Grande,20.5692,-103.1543,"On 22 May 2020, in Puente Grande, Jalisco, prisoners who are members of CJNG and Sinaloa Carte clashed inside a prison. The prisoners used firearms. According to reports, the clash was related to disputes over the control of the prison. Eight men died and another eight were injured. 8 fatalities and 8 injured."
2020-05-23,2020,CJNG,La Familia Michoacana,12,Michoacan de Ocampo,Huetamo de Nunez,18.6264,-100.8997,"Around 23 May 2020 (as reported), in the Municipality of Huetamo, Michoacan, 12 alleged members of CJNG were killed and their bodies were found in a pickup truck near the border with the municipality of Altamirano, Guerrero along with a narco message signed by La Familia Michoacana who claimed responsibility for the attack with a video posted online. According to one report, the killings could ha…"
2020-05-23,2020,Cartel del Noreste,Gulf Cartel (Golfo),3,Nuevo Leon,Doctor Coss,25.9249,-99.1831,"Around 23 May 2020 (weekend of), near Doctor Coss, Nuevo Leon, several armed clashes between alleged members of The Gulf Cartel and the CDN were reported on the Pena Blanca-Comales road. The bodies of three people and two burned-out vans were found. According to the report there could have been up to 25 deaths but the bodies were not found."
